semilla,ganancia
2_796571_8500,91.627
2_796571_8000,89.154
2_207811_12500,89.714
2_207811_12000,92.117
2_207811_11500,91.301
2_207811_11000,95.174
2_207811_10500,97.600
2_207811_10000,99.607
2_207811_9500,97.554
2_207811_9000,97.530
2_207811_8500,96.550
2_207811_8000,92.584
2_155569_12500,98.184
2_155569_12000,98.930
2_155569_11500,96.387
2_155569_11000,93.097
2_155569_10500,94.707
2_155569_10000,95.174
2_155569_9500,93.121
2_155569_9000,91.837
2_155569_8500,91.861
2_155569_8000,92.444
1_796571_12500,92.304
1_796571_12000,94.241
1_796571_11500,92.887
1_796571_11000,93.797
1_796571_10500,93.844
1_796571_10000,93.634
1_796571_9500,90.834
1_796571_9000,90.764
1_796571_8500,87.544
1_796571_8000,88.221
1_207811_12500,95.314
1_207811_12000,96.760
1_207811_11500,96.760
1_207811_11000,96.644
1_207811_10500,98.277
1_207811_10000,97.157
1_207811_9500,94.147
1_207811_9000,95.944
1_207811_8500,92.281
1_207811_8000,91.324
1_155569_12500,95.967
1_155569_12000,95.571
1_155569_11500,95.454
1_155569_11000,96.084
1_155569_10500,97.017
1_155569_10000,93.657
1_155569_9500,90.764
1_155569_9000,93.307
1_155569_8500,93.027
1_155569_8000,93.121
1_155569_13000,93.307
1_207811_13000,94.451
1_796571_13000,91.301
2_155569_13000,98.580
2_207811_13000,93.704
2_796571_9000,92.467
2_796571_9500,94.357
2_796571_10000,95.757
2_796571_10500,95.244
2_796571_11000,95.477
2_796571_11500,94.614
2_796571_12000,93.797
2_796571_12500,93.937
2_796571_13000,96.667

