numero_de_cliente	cliente_edad	cliente_antiguedad	ctrx_quarter	mpayroll	mcaja_ahorro	mtarjeta_visa_consumo	mtarjeta_master_consumo	mprestamos_personales	Visa_status	Master_status	cdescubierto_preacordado	cluster
249246268	73	373	29	0	0	228.78	5251.32	0	0	0	1	cluster_1
249458924	57	128	54	0	8101.32	7055.09	7099.37	0	0	0	1	cluster_1
250124451	60	141	17	0	167.26	0	5823.86	0	0	0	0	cluster_1
250352496	71	322	81	0	71515.01	82631.43	0	0	0	0	1	cluster_1
250660396	57	255	9	0	25.26	0	0	0	0	0	0	cluster_1
250776861	64	322	69	0	40435.89	34650.47	0	0	0	0	1	cluster_1
251168989	53	283	14	0	6300.81	0	0	0	0	0	1	cluster_1
251679187	58	323	189	0	99979.05	15401.86	3015.4	2048.12	0	0	1	cluster_1
251688743	58	35	62	0	17570.71	33603.58	0	0	0	0	1	cluster_1
251808341	59	323	64	0	18731.41	31034.2	0	0	0	0	1	cluster_1
252397301	66	323	33	0	12992.48	7344.22	0	0	0	0	1	cluster_1
252441059	80	320	21	2497.35	12206.2	0	0	0	0	0	1	cluster_1
253221300	92	321	35	0	33930.62	41214.83	0	0	0	0	1	cluster_1
253388303	66	314	51	0	30660.56	6370.98	2809.83	0	0	0	1	cluster_1
254008476	79	284	50	0	9926.57	82337.44	0	0	0	0	1	cluster_1
254021969	81	320	46	0	5192.14	14698.28	0	0	0	9	1	cluster_1
254064924	65	65	30	36363	7936	1965.11	0	0	0	0	1	cluster_1
254109194	53	277	84	0	5953.17	13808.27	0	0	0	0	1	cluster_1
254719878	48	170	106	0	12079.04	14116.77	0	0	0	0	1	cluster_1
254932245	54	375	102	0	8479.57	3482.34	0	0	0	0	1	cluster_1
255023765	60	320	172	0	35333.51	13031.81	42307.44	0	0	0	1	cluster_1
255264790	58	305	12	0	1028.27	0	0	0	0	0	1	cluster_1
255497865	51	269	99	0	21589.22	13309.91	9879.07	0	0	0	1	cluster_1
255502682	62	10	7	0	0	0	0	0	0	0	1	cluster_1
255566422	45	99	6	0	88.29	0	0	0	0	0	0	cluster_1
255953153	86	8	0	0	26050.89	0	0	0	0	0	1	cluster_1
256673086	45	46	16	0	2.24	0	0	0	0	0	0	cluster_1
256941601	57	321	90	0	3675.48	67610.01	0	0	0	0	1	cluster_1
257221645	75	174	20	0	390.58	14689.06	0	0	0	0	1	cluster_1
257252055	72	73	42	0	29950.94	0	0	0	0	0	1	cluster_1
257346863	59	280	23	0	0	6684.92	0	0	0	0	1	cluster_1
257640758	76	274	0	0	0	0	0	0	7	7	1	cluster_1
257705446	80	297	10	0	8263.3	7354.69	0	0	0	0	1	cluster_1
257806523	51	322	15	0	0.38	425.89	0	0	0	0	1	cluster_1
257999410	58	68	11	0	1567.94	0	0	0	9	9	1	cluster_1
258284850	64	288	28	0	14924.65	0	0	0	0	0	1	cluster_1
258285286	73	283	13	0	13914.14	0	0	0	9	9	1	cluster_1
258586107	66	93	4	0	0	0	0	0	7	0	1	cluster_1
259138243	56	203	161	0	35836.69	83036.17	0	0	0	0	1	cluster_1
259161215	67	323	33	0	6975.02	7891.12	0	0	0	0	1	cluster_1
259227065	73	201	45	0	6720.97	2544.06	1388.83	0	0	0	1	cluster_1
259257910	47	284	45	0	0	0	0	721003.79	7	7	1	cluster_1
259537074	67	134	17	0	292.11	0	0	0	0	0	1	cluster_1
259670175	53	76	22	0	1054.11	0	0	5920.96	0	0	0	cluster_1
259964505	76	280	59	0	52586.71	4460.91	0	0	0	0	1	cluster_1
260355317	75	321	9	0	327.05	1505.86	0	0	0	0	1	cluster_1
260594814	50	137	58	0	28494.26	20142.27	3847.35	0	0	0	1	cluster_1
260734174	55	268	87	0	0	65702.75	0	0	0	0	1	cluster_1
260768453	71	135	0	0	0	0	0	0	9	0	1	cluster_1
261652981	42	43	46	0	4638.4	16097.91	0	3341.66	0	0	1	cluster_1
262658142	75	72	59	0	6.09	20776.8	0	0	0	0	1	cluster_1
262773437	49	199	36	0	9467.5	7883.21	0	0	0	0	1	cluster_1
263152729	58	13	36	0	131720.13	5688.27	3732	0	0	0	1	cluster_1
263172781	68	319	107	0	98.08	61311.1	19505	0	0	0	1	cluster_1
263252935	83	277	37	0	0	1921.37	0	0	0	0	1	cluster_1
263264822	51	283	34	0	5152.82	16262.38	0	0	0	0	1	cluster_1
263275462	68	321	7	0	15148.89	0	0	0	0	0	1	cluster_1
263751894	67	321	296	0	77256.47	134152.29	0	0	0	0	1	cluster_1
264181434	75	323	39	0	10627.72	5831.17	0	0	0	0	1	cluster_1
264352887	66	278	6	0	55149.13	0	0	0	0	0	1	cluster_1
264688643	56	121	64	0	3556.78	3064.75	0	0	0	0	1	cluster_1
264913119	46	10	1	0	28.91	0	0	0	0	0	1	cluster_1
265503317	73	323	94	0	7205.01	0	3990.82	0	0	0	1	cluster_1
266094386	45	280	1250	0	344461.85	141427.53	9993.04	0	0	0	1	cluster_1
266337017	56	275	11	0	0	0	0	77806.8	0	0	0	cluster_1
266615233	57	162	86	29325	7335.13	26579.38	0	0	0	0	1	cluster_1
266875362	60	323	29	0	0	45476.15	0	0	0	0	1	cluster_1
267070153	46	290	12	0	2380.81	0	5466.18	0	0	0	1	cluster_1
267133091	51	320	80	31599.44	95348.02	8068.91	0	0	0	0	1	cluster_1
267443758	71	321	117	0	5837.04	29206.04	0	0	0	0	1	cluster_1
267545125	76	258	47	0	2708.78	79667.62	1388.83	0	0	0	1	cluster_1
267601205	58	288	54	94618.87	-15048.51	0	0	1255464.99	0	0	0	cluster_1
267771786	76	373	78	0	95984.94	13140.19	15014.98	0	0	0	1	cluster_1
268166980	71	320	65	0	1420.63	42027.98	0	0	0	0	1	cluster_1
268269294	67	289	29	0	531.68	363.78	0	0	0	0	1	cluster_1
268315306	67	26	0	0	0	0	0	45102.77	0	0	1	cluster_1
268701456	72	323	55	0	4371.16	3833.14	0	0	0	0	1	cluster_1
269137930	64	321	15	0	3499.99	2821.82	0	0	0	0	1	cluster_1
269337965	69	133	13	0	343389.94	0	0	0	0	0	1	cluster_1
269445899	53	288	98	0	258.02	36531.59	24640.76	0	0	0	1	cluster_1
269971844	65	262	14	0	0	0	0	0	0	0	0	cluster_1
270156934	70	287	20	0	0	2460.68	0	0	0	0	1	cluster_1
270192886	57	278	56	0	9534.06	0	0	0	0	0	1	cluster_1
270347421	89	320	25	0	22993.87	0	0	0	0	0	1	cluster_1
270663562	69	316	49	0	15162.5	0	3527.92	0	0	0	0	cluster_1
270952205	60	317	65	0	0	44870.68	13244.87	0	0	0	1	cluster_1
271197748	48	65	55	0	309.88	91474.57	0	0	0	0	1	cluster_1
271222471	63	289	130	182510.03	35620.2	23712.32	8748.94	0	0	0	1	cluster_1
271417185	62	30	0	0	2027.01	0	0	0	0	0	0	cluster_1
271575367	59	18	325	0	28242.29	45312.81	0	0	0	0	1	cluster_1
271795316	47	23	45	0	0	51105.61	0	0	0	0	1	cluster_1
271863207	64	143	35	0	168.17	7574.07	5148.33	0	0	0	1	cluster_1
272068647	49	29	56	0	30683.8	4714.87	0	0	0	0	1	cluster_1
272310177	46	321	37	0	755.31	61827.24	4016.53	0	0	0	1	cluster_1
272449468	72	305	63	0	4223.66	41241.1	0	0	0	0	1	cluster_1
272744533	64	323	104	0	24102	25639.36	2452.49	0	0	0	1	cluster_1
274365409	67	279	60	0	1176.85	1121.38	70782.58	0	0	0	1	cluster_1
274751781	68	276	21	0	17048.32	9492.73	0	0	0	0	1	cluster_1
274814129	44	19	16	0	37.6	0	1085.02	0	0	0	1	cluster_1
275583073	46	261	18	0	0	125.35	0	0	0	0	1	cluster_1
275609110	59	321	25	0	4248.28	9652.61	0	0	0	0	1	cluster_1
275890392	51	120	17	0	0	938.96	0	0	0	0	1	cluster_1
276279821	62	281	26	0	682.72	0	0	9839.54	0	0	0	cluster_1
276522452	55	276	25	0	360.92	954.44	0	0	0	0	1	cluster_1
277387365	59	45	34	10010.54	54841.45	0	0	0	0	0	1	cluster_1
277411575	56	8	23	0	1803.06	4804.2	0	0	0	0	1	cluster_1
278044070	51	179	197	0	70668.45	132601.72	2539.77	0	0	0	1	cluster_1
278217051	82	320	23	0	116.99	0	0	0	0	0	1	cluster_1
278233097	88	120	0	0	0	0	0	0	0	0	1	cluster_1
279488028	68	321	78	0	2359.16	79.76	0	0	0	0	1	cluster_1
280419594	78	321	71	0	223.97	57904.64	21350.79	0	0	0	1	cluster_1
280534018	60	52	17	0	2599.61	6779.92	0	0	0	0	1	cluster_1
280690816	68	373	50	35190	17061.96	31760.14	0	0	0	0	1	cluster_1
281413226	55	8	131	0	62965.66	500629.96	5419.51	0	0	0	1	cluster_1
281585267	63	264	62	0	11476.74	22895.63	0	0	0	0	1	cluster_1
281626617	53	272	42	0	45353.36	19603.46	0	0	0	0	1	cluster_1
281987241	68	180	26	0	1994.93	1189.89	0	30300.19	0	0	1	cluster_1
282247951	57	270	108	0	144242.5	10040.86	0	0	0	0	1	cluster_1
282365142	57	142	168	194436.11	74577.63	20634.45	0	0	0	0	1	cluster_1
282413639	65	318	8	0	15.21	0	0	0	0	0	0	cluster_1
282624621	64	260	61	0	0	50072.49	0	0	0	0	1	cluster_1
283176826	66	320	24	19061.25	4622.52	13157.44	0	0	0	0	1	cluster_1
284071859	51	298	34	0	10742.31	2089.45	0	0	0	0	1	cluster_1
285206892	74	201	82	0	51605.26	85261.06	0	42335.43	0	0	1	cluster_1
285562922	48	268	17	0	253.98	517.46	0	0	0	0	1	cluster_1
286377664	61	158	21	0	17763.14	12246.17	517.48	0	0	0	1	cluster_1
286394948	71	322	32	0	0	0	0	0	9	9	1	cluster_1
286504342	71	322	36	0	22671.89	9280.5	0	0	0	0	1	cluster_1
286594915	68	273	14	0	89089.09	0	0	0	9	9	1	cluster_1
287008776	60	7	13	0	7.51	1290.3	0	0	0	0	0	cluster_1
287215813	68	280	52	0	2670.12	0	0	0	0	0	1	cluster_1
287481638	72	271	38	0	69611.27	0	0	0	0	0	1	cluster_1
287668112	49	280	47	0	0	4500.09	0	0	0	0	1	cluster_1
288411675	46	51	15	0	26.48	0	0	0	0	0	1	cluster_1
288729054	72	321	72	0	3274.96	22743.77	11261.46	0	0	0	1	cluster_1
288743930	71	278	17	0	73311.05	0	0	0	0	0	1	cluster_1
289269807	57	187	59	0	57281.71	61055.55	0	0	0	0	1	cluster_1
289289209	75	305	21	0	14814.25	8850.06	0	0	0	0	1	cluster_1
289619057	55	56	107	0	16160.64	61543.23	0	0	0	0	1	cluster_1
289634300	51	199	14	0	1088.13	1018.86	0	0	0	0	1	cluster_1
289863583	45	19	6	0	108.64	0	0	0	0	0	1	cluster_1
290023584	51	322	227	0	4472.2	20999.39	35866.86	0	0	0	1	cluster_1
290077034	62	265	40	0	37127.06	10591.6	11072.18	0	0	0	1	cluster_1
290325429	69	92	33	0	0	15490.56	0	0	0	0	1	cluster_1
290352193	67	272	11	0	141257.03	0	0	0	0	0	0	cluster_1
290547855	76	321	20	0	1445.8	6639.07	0	0	0	0	1	cluster_1
290559597	52	264	42	9022.71	29941.49	947.44	0	0	0	0	1	cluster_1
291121640	54	322	214	0	75965.9	53269.64	0	0	0	0	1	cluster_1
291375791	67	323	25	0	9890.54	0	815.43	0	0	0	1	cluster_1
291456013	77	321	27	0	19490.67	770.07	0	0	0	0	0	cluster_1
291717090	47	188	104	0	1881.8	20881.46	6041.03	0	0	0	1	cluster_1
292019157	42	134	131	260653.12	23626.61	8959.26	0	0	0	0	1	cluster_1
292291763	65	283	122	0	14530.91	0	0	0	0	0	1	cluster_1
292795684	64	71	4	0	0	242.41	0	0	0	0	1	cluster_1
293948300	45	179	15	0	597.71	0	0	8664.14	0	0	1	cluster_1
294556219	60	279	61	0	106761.69	0	0	0	0	0	1	cluster_1
294744588	56	287	183	0	39842.14	0	286.36	0	0	0	1	cluster_1
294745459	68	65	44	0	255.85	0	0	0	0	0	1	cluster_1
295061600	57	263	23	0	3096.61	0	3435.06	0	0	0	1	cluster_1
295168219	54	35	1	0	443.34	0	0	0	0	0	1	cluster_1
295235315	45	20	7	0	10.31	0	0	0	0	0	1	cluster_1
295556119	52	188	13	0	4698.31	0	0	0	0	0	1	cluster_1
295996376	66	279	11	0	15963.39	0	0	0	0	0	1	cluster_1
